region_code,region_name,reporting_year,poverty_line,reporting_pop,headcount,poverty_gap,poverty_severity,watts,mean,spr,pg,pop_in_poverty,estimate_type
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2022,3,782349366,0.11628828485177321,0.03125002497204835,0.0131191841202497,0.04228783711657629,13.188166990155358,0.2551285458831062,5.2524012724095215,90978066,projection
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2023,3,797801454,0.11591268100501664,0.031664470325816076,0.013474901252721222,0.043085227805916206,13.440407783542698,0.2547806906656753,5.244328661662836,92475305,projection
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2024,3,813118814,0.11792780440065329,0.03283317037175838,0.014200317837033101,0.044967278416050256,13.401208759028034,0.2560795104902714,5.289952963410705,95889316,projection
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2025,3,826703074,0.11757192299029634,0.03338080170421415,0.01466324384690526,0.04601149221935056,13.473388331625342,0.2560418784432873,5.300215683849242,97197070,nowcast
NAC,North America,1981,3,254339912,0.005121077145767343,0.002798085858039171,0.0019024475380640723,0.005134019970653069,54.58359779786821,0.17687591830632543,0.9594287129220366,1302494,actual
NAC,North America,1982,3,256835329,0.0063938185770401395,0.003759857653417078,0.00276222125549224,0.007546164584584354,55.25217233198229,0.18640666426346666,1.0644449038068176,1642158,actual
NAC,North America,1983,3,259213228,0.005965198718950013,0.003437870386756918,0.002503644647746297,0.006790368095159865,56.93687113946029,0.19552028419533435,1.0357881747334472,1546258,actual
NAC,North America,1984,3,261487222,0.00524872607675618,0.0028512870137320156,0.001945038255422839,0.00523801380879884,59.01677895462695,0.19247942512598185,0.9495413717405331,1372475,actual
NAC,North America,1985,3,263821663,0.005222443573560836,0.002858089363081209,0.001954095507295634,0.005214665796854693,60.21728545498655,0.19336364883425058,0.9308920430048376,1377794,actual
NAC,North America,1986,3,266289167,0.005641020268013802,0.0034163543431709647,0.0025157759258346555,0.006795579613873294,61.755811916321925,0.18995721962433418,0.9773509674020037,1502143,actual
NAC,North America,1987,3,268791866,0.004613837562147007,0.0024292970594515556,0.00161159455605594,0.004384108203911074,63.59559656302289,0.18945101555602878,0.866304561501195,1240162,actual
NAC,North America,1988,3,271347446,0.004086825171003659,0.0020245573201455335,0.001303676236025082,0.00360496665432858,64.67614665902431,0.18777320945191428,0.8344552294161277,1108950,actual
NAC,North America,1989,3,274152910,0.004620323874732621,0.0025687243341154307,0.00181652067632944,0.00506615155651326,65.70961678532255,0.18731151500835794,0.8854524434479614,1266675,actual
NAC,North America,1990,3,277371697,0.004723153458947836,0.0026024550638074437,0.0018118727216974923,0.005033733643757537,64.05321771925307,0.18944206859685472,0.8995191172861949,1310069,actual
