"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9166030883789","","","80.7311630249023","","","","","92.9938125610352","95.2421417236328","110.370262145996","99.7471084594727","97.4247970581055","105.019790649414","108.788780212402","","96.1579477457195","96.2675193497296","94.398657797139","","93.9747354424068","92.4189283979928","89.3423023359697","90.7134854349155","88.8457640107785","93.5630099728015","94.3636628896562","94.2158819806222","93.8248282630029","94.3309098054628","98.213668887244",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","75.9736709594727","78.7690582275391","","","","","","","","","","","","","","","","88.3074417114258","","","","","","","","","","","","","","","","110.256408691406","103.888130187988","119.779411315918","119.621208190918","","114.516129032258","120.137298583984","100.936767578125","103.177124702145","108.32666015625","104.944183349609","105.633802816901","","","123.354735152488","","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5010681152344","","100.962127685547","","","","","","","100.62183380127","96.4984817504883","98.8614273071289","97.3396606445312","99.3965225219727","97.1509704589844","98.6491775512695","97.7539825439453","99.4589767456055","97.6123962402344","99.8165130615234","97.1591720581055","98.030403137207","",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.5135116577148","95.1685791015625","97.5860137939453","92.6961517333984","95.5954284667969","93.4306182861328","91.6054306030273","98.13037109375","90.7368316650391","91.7717208862305","89.5144492617222","92.8068313392512","91.9911870008262","88.0894106271435","98.1257063661637","103.280207101326","111.301912974527","107.172167278439","100.219950144634","100.383341347438","98.5337296772628","96.56355160566","99.7032805695039","96.2334128073598","97.2039767305857",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.65796995162964","","10.7878999710083","10.9621095657349","11.4992599487305","10.7979898452759","10.8820400238037","10.5054597854614","10.5247001647949","10.5720300674438","10.6561803817749","12.4467000961304","16.7562408447266","22.5877094268799","23.3448791503906","25.3166103363037","24.9634895324707","34.5010108947754","29.890739440918","37.4912109375","41.6567192077637","44.2360496520996","47.9752502441406","","","","","","","24.565710067749","25.2957401275635","25.7107906341553","30.2136306762695","32.5136108398438","34.922721862793","","47.7613792419434","41.7056617736816","48.131031036377","52.5292164186807","57.807852401061","62.63929551177","69.1022048593299","66.8519495203845","60.0952306625293","61.990361853496","61.3078373641735","55.4360093087346","51.6197565455252","47.609493213452","","","","",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","16.852560043335","19.528829574585","19.6640796661377","18.6737403869629","22.884859085083","22.7298908233643","22.2448501586914","24.3749294281006","25.7683391571045","27.5322208404541","28.4912796020508","30.7440299987793","33.3067588806152","27.2962207794189","31.1250991821289","28.4514102935791","27.4691104888916","25.3900604248047","25.209810256958","17.6420993804932","19.8659992218018","19.8229503631592","21.6091594696045","23.3867092132568","27.7314395904541","29.6667804718018","31.9052906036377","34.4845886230469","","34.8620986938477","38.7594413757324","40.7716102600098","44.9797401428223","48.7890701293945","","","","59.6330108642578","","62.5975189208984","67.32373046875","68.599967956543","73.8312835693359","74.4083786010742","75.4117202758789","74.7715225219727","","","58.9629592895508","57.5283889770508","67.7665023803711","61.6417503356934","","",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.47655010223389","6.96433019638062","7.14769983291626","6.87375020980835","7.71567010879517","7.64448022842407","8.57522010803223","8.7224702835083","9.54446029663086","9.36571025848389","10.3736200332642","10.5514097213745","11.2317304611206","12.214280128479","13.7962102890015","","15.528730392456","16.5390701293945","16.2367401123047","19.0216102600098","19.3267192840576","25.5605506896973","25.01828956604","25.8173198699951","17.8037395477295","21.6455402374268","","","21.8901290893555","23.8220405578613","25.1767692565918","25.9655895233154","27.5287399291992","28.8950691223144","30.4755191802979","31.8527793884277","33.9733009338379","37.6760787963867","42.5357513427734","45.96010978957","","55.8972269217297","60.8494277141905","59.5950909640897","60.3448419249273","60.1264533975278","61.5863350030506","62.608203204783","61.6091078457616","61.8698150998586","63.7436352801156","58.291190218396","51.6947761170006","51.9892903102133",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","41.9303894042969","30.6567192077637","","","","26.6342601776123","","","","","","","","43.2526016235352","","","","","","","","","","","","","","","","64.2816696166992","","","55.0913696289062","60.2132186889648","60.9081624899997","","","","","","","","","","","109.869193724542","96.6163713445783","98.0281882152568","94.3021681436472",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8230667114258","101.293197631836","101.996978759766","102.732528686523","103.744682312012","104.944259643555","107.972633361816","104.066673278809","103.576042175293","100.611473083496","99.7935028076172","99.9665908813477","99.5272598266602","100.799560546875","98.9775390625","99.57666015625","98.1427536010742","98.9449234008789","97.0378875732422","97.1262664794922","97.7003631591797","94.2598114013672","95.7139129638672","94.4560775756836","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","90.1441268920898","82.9198989868164","82.2284698486328","84.995849609375","83.5602035522461","85.0869064331055","91.2429428100586","97.1772003173828","","97.7195892333984","94.7540588378906","90.6369171142578","83.5338516235352","84.3225402832031","82.9963531494141","","84.1350936889648","90.2863693237305","90.9955291748047","93.3817520141602","96.0652084350586","92.7540512084961","93.5353698730469","93.9117813110352","","","","","","93.2333767926988","100.101296596434","104.924189734316","102.214573321211","99.087656529517","99.6276565274675","98.1791778373548","95.9884292107849","97.6139639158749","","","101.043024771838","88.56187958298","94.1088052754073",
